support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
10,0,0,0,77.94,87.61,87.61
10,0,0,0,73.72,84.87,84.87
10,0,0,0,71.16,83.15,83.15
10,0,0,0,75.54,86.07,86.07
10,0,0,0,80.11,88.96,88.96
10,0,0,0,68.76,81.49,81.49
10,0,0,0,80.19,89.0,89.0
10,0,0,0,79.87,88.81,88.81
10,0,0,0,70.03,82.37,82.37
10,0,0,0,75.24,85.87,85.87
10,0,0,0,75.46,86.01,86.01
10,0,0,0,75.81,86.24,86.24
10,0,0,0,81.02,89.51,89.51
10,0,0,0,81.46,89.78,89.78
10,0,0,0,73.49,84.72,84.72
10,0,0,0,71.89,83.65,83.65
10,0,0,0,77.65,87.42,87.42
10,0,0,10,83.18,90.82,90.82
10,0,0,10,82.61,90.48,90.48
10,0,0,10,82.69,90.53,90.53
10,0,0,10,83.15,90.8,90.8
10,0,0,10,83.34,90.92,90.92
10,0,0,10,82.91,90.66,90.66
10,0,0,10,83.23,90.85,90.85
10,0,0,10,82.23,90.25,90.25
10,0,0,10,77.33,87.21,87.21
10,0,0,10,83.57,91.05,91.05
10,0,0,10,80.58,89.24,89.24
10,0,0,10,82.02,90.12,90.12
10,0,0,10,82.77,90.57,90.57
10,0,0,10,81.03,89.52,89.52
10,0,0,10,84.85,91.8,91.8
10,0,0,10,82.08,90.16,90.16
10,0,0,10,82.95,90.68,90.68
10,0,0,20,82.51,90.42,90.42
10,0,0,20,82.32,90.3,90.3
10,0,0,20,84.25,91.45,91.45
10,0,0,20,79.56,88.61,88.61
10,0,0,20,83.85,91.22,91.22
10,0,0,20,80.23,89.03,89.03
10,0,0,20,83.35,90.92,90.92
10,0,0,20,82.22,90.24,90.24
10,0,0,20,79.99,88.88,88.88
10,0,0,20,81.38,89.73,89.73
10,0,0,20,81.88,90.03,90.03
10,0,0,20,85.19,92.0,92.0
10,0,0,20,81.87,90.03,90.03
10,0,0,20,81.62,89.88,89.88
10,0,0,20,85.01,91.9,91.9
10,0,0,20,84.78,91.77,91.77
10,0,0,20,84.66,91.69,91.69
10,0,0,30,80.58,89.24,89.24
10,0,0,30,82.83,90.61,90.61
10,0,0,30,82.95,90.68,90.68
10,0,0,30,83.01,90.72,90.72
10,0,0,30,84.37,91.52,91.52
10,0,0,30,82.94,90.68,90.68
10,0,0,30,81.56,89.84,89.84
10,0,0,30,83.55,91.04,91.04
10,0,0,30,85.21,92.02,92.02
10,0,0,30,85.82,92.37,92.37
10,0,0,30,81.58,89.86,89.86
10,0,0,30,84.26,91.46,91.46
10,0,0,30,80.61,89.26,89.26
10,0,0,30,82.73,90.55,90.55
10,0,0,30,84.13,91.38,91.38
10,0,0,30,81.38,89.73,89.73
10,0,0,30,82.74,90.56,90.56
10,0,0,40,80.06,88.93,88.93
10,0,0,40,84.4,91.54,91.54
10,0,0,40,80.91,89.45,89.45
